title,human,ChatGPT,author,Claude,deepseek
Methodology And Convergence Rates For Functional Linear Regression,"In functional linear regression, the slope ``parameter'' is a   function. Therefore, in a nonparametric context, it is determined by an   infinite number of unknowns. Its estimation involves solving an   ill-posed problem and has points of contact with a range of   methodologies, including statistical smoothing and deconvolution. The   standard approach to estimating the slope function is based explicitly   on functional principal components analysis and, consequently, on   spectral decomposition in terms of eigenvalues and eigenfunctions. We   discuss this approach in detail and show that in certain circumstances,   optimal convergence rates are achieved by the PCA technique. An   alternative approach based on quadratic regularisation is suggested and   shown to have advantages from some points of view.","In functional linear regression, the slope ""parameter"" is actually a function, which makes it dependent on an infinite number of unknowns in a nonparametric setting. Estimating this slope involves tackling an ill-posed problem and intersects with various methodologies, including statistical smoothing and deconvolution. The conventional method for estimating the slope function relies on functional principal components analysis, leading to spectral decomposition involving eigenvalues and eigenfunctions. We delve into this approach thoroughly and demonstrate that, under certain conditions, optimal convergence rates can be attained using the PCA technique. Additionally, we propose an alternative method based on quadratic regularization, which presents several advantages from different perspectives.",Peter Hall,"In functional linear regression, the slope ""parameter"" is a function, rather than a finite-dimensional vector. Consequently, in a nonparametric setting, it is determined by an infinite number of unknowns. Estimating this slope function involves solving an ill-posed problem, which has connections to various methodologies, including statistical smoothing and deconvolution. The standard approach to estimating the slope function is based on functional principal components analysis (FPCA) and the associated spectral decomposition in terms of eigenvalues and eigenfunctions. We provide a detailed discussion of this FPCA-based method and demonstrate that, under certain conditions, it achieves optimal convergence rates. Additionally, we propose an alternative approach based on quadratic regularization, which offers advantages from certain perspectives.","In functional linear regression, the slope ""parameter"" is a function. Consequently, in a nonparametric setting, it depends on infinitely many unknowns. Estimating it requires solving an ill-posed problem, intersecting with methodologies like statistical smoothing and deconvolution. The conventional method for estimating the slope function relies on functional principal component analysis (PCA), which involves spectral decomposition via eigenvalues and eigenfunctions. We examine this approach thoroughly, demonstrating that PCA achieves optimal convergence rates under specific conditions. Additionally, we propose a quadratic regularization alternative and highlight its advantages in certain contexts."
Nonparametric Estimation When Data On Derivatives Are Available,"We consider settings where data are available on a nonparametric   function and various partial derivatives. Such circumstances arise in   practice, for example in the joint estimation of cost and input   functions in economics. We show that when derivative data are available,   local averages can be replaced in certain dimensions by nonlocal   averages, thus reducing the nonparametric dimension of the problem. We   derive optimal rates of convergence and conditions under which dimension   reduction is achieved. Kernel estimators and their properties are   analyzed, although other estimators, such as local polynomial, spline   and nonparametric least squares, may also be used. Simulations and an   application to the estimation of electricity distribution costs are   included.","We examine contexts where data on a nonparametric function and its various partial derivatives are accessible. Such scenarios frequently occur in practice, particularly in the joint estimation of cost and input functions within economics. Our findings indicate that, when derivative data is available, local averages can be substituted with nonlocal averages in certain dimensions, thereby decreasing the nonparametric dimension of the problem. We establish optimal convergence rates and the conditions necessary for dimension reduction to occur. We also analyze the properties of kernel estimators, although other methods such as local polynomial, spline, and nonparametric least squares can be employed. The study is supported by simulations and a case study focused on estimating electricity distribution costs.",Peter Hall,"Here is a lightly edited version of the abstract:

This study examines settings where data are available on a nonparametric function and various partial derivatives. Such situations are common in practice, such as the joint estimation of cost and input functions in economics. We demonstrate that when derivative data are accessible, local averages can be replaced by nonlocal averages in certain dimensions, thereby reducing the nonparametric dimension of the problem. We derive optimal convergence rates and conditions for achieving this dimension reduction. While kernel estimators and their properties are analyzed, other estimators, such as local polynomial, spline, and nonparametric least squares, may also be employed. The paper includes simulations and an application to the estimation of electricity distribution costs.","We examine scenarios where data are available for both a nonparametric function and its partial derivatives. Such situations occur in practice—for instance, when jointly estimating cost and input functions in economics. We demonstrate that when derivative data are accessible, local averages can be replaced by nonlocal averages in certain dimensions, thereby reducing the problem's nonparametric complexity. We establish optimal convergence rates and conditions for dimension reduction. Kernel estimators and their properties are analyzed, though alternative methods—such as local polynomial, spline, or nonparametric least squares—could also be employed. Simulations and an application to electricity distribution cost estimation are included."
Prediction In Functional Linear Regression,"There has been substantial recent work on methods for estimating the   slope function in linear regression for functional data analysis.   However, as in the case of more conventional finite-dimensional   regression, much of the practical interest in the slope centers on its   application for the purpose of prediction, rather than on its   significance in its own right. We show that the problems of   slope-function estimation, and of prediction from an estimator of the   slope function, have very different characteristics. While the former is   intrinsically nonparametric, the latter can be either nonparametric or   semi-parametric. In particular, the optimal mean-square convergence rate   of predictors is n(-1), where n denotes sample size, if the predictand   is a sufficiently smooth function. In other cases, convergence occurs at   a polynomial rate that is strictly slower than n(-1). At the boundary   between these two regimes, the mean-square convergence rate is less than   n(-1) by only a logarithmic factor. More generally, the rate of   convergence of the predicted value of the mean response in the   regression model, given a particular value of the explanatory variable,   is determined by a subtle interaction among the smoothness of the   predictand, of the slope function in the model, and of the   autocovariance function for the distribution of explanatory variables.","Recent advancements have significantly enhanced methods for estimating the slope function in linear regression within the context of functional data analysis. Nevertheless, similar to traditional finite-dimensional regression, the primary interest lies in the application of the slope for prediction purposes rather than its intrinsic significance. Our findings reveal that the challenges of slope-function estimation and prediction based on slope estimates exhibit distinct characteristics. The former is fundamentally nonparametric, while prediction can take on either nonparametric or semi-parametric forms. Notably, the optimal mean-square convergence rate for predictors is \( n^{-1} \), where \( n \) represents the sample size, provided the predictand is sufficiently smooth. In other scenarios, the convergence rate is polynomial but slower than \( n^{-1} \). At the transition between these two behaviors, the mean-square convergence rate is only slightly less than \( n^{-1} \), differing by a logarithmic factor. More broadly, the convergence rate of the predicted mean response in the regression model, given a specific value of the explanatory variable, is influenced by a complex interplay between the smoothness of the predictand, the slope function, and the autocovariance structure of the explanatory variable distribution.",Peter Hall,"Here is a lightly edited version of the abstract, keeping the length similar but rephrasing and slightly editing the content:

Recent research has focused on methods for estimating the slope function in linear regression for functional data analysis. However, as in more conventional finite-dimensional regression, the primary practical interest in the slope often lies in its use for prediction, rather than its intrinsic significance. We demonstrate that the problems of slope-function estimation and prediction from an estimated slope function have markedly different characteristics. While the former is fundamentally nonparametric, the latter can be either nonparametric or semi-parametric. Specifically, if the predictand is sufficiently smooth, the optimal mean-square convergence rate of predictors is n^(-1), where n denotes sample size. In other cases, the convergence rate is strictly slower than n^(-1) and follows a polynomial function. At the boundary between these two regimes, the mean-square convergence rate is less than n^(-1) but only by a logarithmic factor. More broadly, the convergence rate of the predicted mean response, given a particular value of the explanatory variable, is determined by a complex interplay among the smoothness of the predictand, the slope function in the model, and the autocovariance function for the distribution of explanatory variables.","Recent research has focused extensively on methods for estimating the slope function in functional linear regression. However, similar to traditional finite-dimensional regression, practical applications often prioritize prediction over slope interpretation. We demonstrate that slope-function estimation and prediction using slope estimates exhibit distinct properties. While the former is inherently nonparametric, the latter can be either nonparametric or semi-parametric. Notably, predictors achieve an optimal mean-square convergence rate of n^(-1) when the predictand is sufficiently smooth. For less smooth cases, convergence follows a polynomial rate slower than n^(-1). At the transition between these regimes, the rate falls short of n^(-1) by merely a logarithmic factor. More broadly, the convergence rate for predicting the mean response—given a specific explanatory variable value—depends on a complex interplay between the predictand's smoothness, the slope function's properties, and the explanatory variables' autocovariance structure."
Nonparametric Estimation Of Mean-squared Prediction Error In Nested-error Regression Models,"Nested-error regression models are widely used for analyzing clustered   data. For example, they are often applied to two-stage sample surveys,   and in biology and econometrics. Prediction is usually the main goal of   such analyses, and mean-squared prediction error is the main way in   which prediction performance is measured. In this paper we suggest a new   approach to estimating mean-squared prediction error. We introduce a   matched-moment, double-bootstrap algorithm, enabling the notorious   underestimation of the naive mean-squared error estimator to be   substantially reduced. Our approach does not require specific   assumptions about the distributions of errors. Additionally, it is   simple and easy to apply. This is achieved through using Monte Carlo   simulation to implicitly develop formulae. which, in a more conventional   approach, would be derived laboriously by mathematical arguments.","Nested-error regression models are commonly employed for analyzing clustered data, such as in two-stage sample surveys, biology, and econometrics. The primary objective of these analyses is often prediction, with mean-squared prediction error serving as the main metric for evaluating predictive performance. In this paper, we propose a novel method for estimating mean-squared prediction error. We present a matched-moment, double-bootstrap algorithm that significantly mitigates the prevalent issue of underestimating the naive mean-squared error estimator. Our method operates without necessitating specific assumptions regarding the error distributions, and it is designed to be both straightforward and user-friendly. We achieve this by utilizing Monte Carlo simulations to effectively develop formulae that would traditionally require intricate mathematical derivations.",Peter Hall,"Here is a lightly edited version of the abstract:

Nested-error regression models are widely employed for analyzing clustered data, such as in two-stage sample surveys, biology, and econometrics. Typically, the primary goal of these analyses is prediction, and mean-squared prediction error is the standard metric for evaluating predictive performance. In this paper, we propose a novel approach to estimating mean-squared prediction error. We introduce a matched-moment, double-bootstrap algorithm that can substantially reduce the well-known underestimation bias of the naive mean-squared error estimator. Our method does not rely on specific assumptions about the error distributions and is straightforward to implement. This is accomplished by using Monte Carlo simulation to implicitly derive the necessary formulae, in contrast to a more conventional, laborious mathematical derivation.","Nested-error regression models are commonly employed for analyzing clustered data, such as in two-stage sample surveys or applications in biology and econometrics. Prediction is typically the primary objective of these analyses, with mean-squared prediction error serving as the key performance metric. This paper proposes a novel method for estimating mean-squared prediction error. We present a matched-moment, double-bootstrap algorithm that significantly reduces the well-known underestimation issue of the naive mean-squared error estimator. Our approach avoids restrictive assumptions about error distributions and remains straightforward to implement. By leveraging Monte Carlo simulation, we implicitly develop formulas that would otherwise require extensive mathematical derivation in traditional approaches."
Properties Of Principal Component Methods For Functional And Longitudinal Data Analysis,"The use of principal component methods to analyze functional data is   appropriate in a wide range of different settings. In studies of   ``functional data analysis,'' it has often been assumed that a sample   of random functions is observed precisely, in the continuum and without   noise. While this has been the traditional setting for functional data   analysis, in the context of longitudinal data analysis a random function   typically represents a patient, or subject, who is observed at only a   small number of randomly distributed points, with nonnegligible   measurement error. Nevertheless, essentially the same methods can be   used in both these cases, as well as in the vast number of settings that   lie between them. How is performance affected by the sampling plan? In   this paper we answer that question. We show that if there is a sample of   n functions, or subjects, then estimation of eigenvalues is a   semiparametric problem, with root-n consistent estimators, even if only   a few observations are made of each function, and if each observation is   encumbered by noise. However, estimation of eigenfunctions becomes a   nonparametric problem when observations are sparse. The optimal   convergence rates in this case are those which pertain to more familiar   function-estimation settings. We also describe the effects of sampling   at regularly spaced points, as opposed to random points. In particular,   it is shown that there are often advantages in sampling randomly.   However, even in the case of noisy data there is a threshold sampling   rate (depending on the number of functions treated) above which the rate   of sampling (either randomly or regularly) has negligible impact on   estimator performance, no matter whether eigenfunctions or eigenvectors   are being estimated.","The application of principal component methods to analyze functional data is suitable across various contexts. In “functional data analysis” studies, it is commonly assumed that a sample of random functions is observed precisely in a continuum and without noise. While this traditional framework has dominated functional data analysis, in longitudinal data contexts, a random function typically represents a patient or subject observed at only a limited number of randomly distributed points, often accompanied by significant measurement error. Nevertheless, similar methods can be applied in both scenarios and in the numerous settings that lie in between. This paper addresses the question: how does the sampling plan impact performance? We demonstrate that for a sample of n functions or subjects, the estimation of eigenvalues poses a semiparametric challenge, yielding root-n consistent estimators even with limited observations per function and the presence of noise. In contrast, estimating eigenfunctions becomes a nonparametric issue when observations are sparse, with optimal convergence rates similar to those found in traditional function estimation contexts. Additionally, we explore the ramifications of sampling at regularly spaced points versus random points, highlighting that random sampling often offers distinct advantages. However, even when dealing with noisy data, there exists a threshold sampling rate—dependent on the number of functions considered—beyond which the sampling method (whether random or regular) has minimal impact on estimator performance, regardless of whether eigenfunctions or eigenvectors are being estimated.",Peter Hall,"The use of principal component methods is a widely applicable approach for analyzing functional data. While the traditional setting for functional data analysis has assumed that a sample of random functions is observed precisely and without noise, in certain contexts, such as longitudinal data analysis, random functions represent subjects observed at a limited number of randomly distributed points with measurement error. Despite these differences, the same core methods can be applied across a range of settings. This paper examines how the performance of these techniques is affected by the sampling plan. We show that when there is a sample of n functions, estimation of eigenvalues remains a semiparametric problem with root-n consistent estimators, even if each function is observed only a few times with noise. However, estimating eigenfunctions becomes a nonparametric problem when observations are sparse, with convergence rates matching those of more familiar function-estimation settings. The paper also explores the effects of sampling at regularly spaced points versus random points, revealing advantages to random sampling, although there is a threshold sampling rate above which the sampling approach has negligible impact on estimator performance, regardless of whether eigenfunctions or eigenvectors are being estimated.","Principal component methods are well-suited for analyzing functional data across diverse scenarios. In traditional functional data analysis, it is often assumed that random functions are observed precisely, continuously, and without noise. However, in longitudinal studies, a random function—typically representing a subject—is usually measured at only a few randomly distributed points with significant measurement error. Despite these differences, the same methods can be applied in both cases, as well as in intermediate settings. How does the sampling approach affect performance? This paper addresses that question. We demonstrate that for a sample of *n* functions (or subjects), eigenvalue estimation remains a semiparametric problem with root-*n* consistent estimators, even with sparse, noisy observations. In contrast, eigenfunction estimation becomes nonparametric under sparse sampling, achieving convergence rates similar to standard function estimation. We also examine the implications of sampling at regular versus random intervals, showing that random sampling often offers advantages. However, beyond a certain threshold sampling rate (dependent on the number of functions analyzed), the sampling method—whether random or regular—has minimal impact on estimator performance, regardless of whether eigenfunctions or eigenvalues are being estimated."
Assessing Extrema Of Empirical Principal Component Functions,"The difficulties of estimating and representing the distributions of   functional data mean that principal component methods play a   substantially greater role in functional data analysis than in more   conventional finite-dimensional settings. Local maxima and minima in   principal component functions are of direct importance; they indicate   places in the domain of a random function where influence on the   function value tends to be relatively strong but of opposite sign. We   explore statistical properties of the relationship between extrema of   empirical principal component functions, and their counterparts for the   true principal component functions. It is shown that empirical principal   component funcions have relatively little trouble capturing conventional   extrema, but can experience difficulty distinguishing a ``shoulder''   in a curve from a small bump. For example, when the true principal   component function has a shoulder, the probability that the empirical   principal component function has instead a bump is approximately equal   to 1/2 We suggest and describe the performance of bootstrap methods for   assessing the strength of extrema. It is shown that the subsample   bootstrap is more effective than the standard bootstrap in this regard.   A ``bootstrap likelihood'' is proposed for measuring extremum   strength. Exploratory numerical methods are suggested.","The challenges of estimating and representing the distributions of functional data result in principal component methods being significantly more crucial in functional data analysis than in traditional finite-dimensional contexts. Local maxima and minima in principal component functions are of particular importance, as they highlight regions in the domain of a random function where the influence on the function's value is relatively strong but oppositely directed. We investigate the statistical properties of the relationship between the extrema of empirical principal component functions and their true counterparts. Our findings indicate that while empirical principal component functions generally capture conventional extrema well, they often struggle to differentiate between a “shoulder” in a curve and a small bump. Specifically, when a true principal component function exhibits a shoulder, there is approximately a 50% chance that the empirical counterpart will present a bump instead. We propose and evaluate the effectiveness of bootstrap methods for assessing the strength of these extrema, demonstrating that the subsample bootstrap outperforms the standard bootstrap in this context. Additionally, we introduce a ""bootstrap likelihood"" approach for quantifying extremum strength and suggest exploratory numerical methods for further investigation.",Peter Hall,"Here is a lightly edited version of the abstract:

Estimating and representing the distributions of functional data poses significant challenges, making principal component methods essential in functional data analysis, more so than in traditional finite-dimensional settings. The local maxima and minima of principal component functions are directly relevant, as they indicate locations in the domain of a random function where the influence on the function value tends to be relatively strong but of opposite sign. This study explores the statistical properties of the relationship between the extrema of empirical principal component functions and their counterparts for the true principal component functions. The results show that while empirical principal component functions generally capture conventional extrema effectively, they may struggle to distinguish a shoulder in a curve from a small bump. For instance, when the true principal component function has a shoulder, the probability that the empirical principal component function exhibits a bump instead is approximately 1/2. The paper proposes and evaluates the performance of bootstrap methods for assessing the strength of extrema, demonstrating that the subsample bootstrap is more effective than the standard bootstrap in this regard. Additionally, a ""bootstrap likelihood"" is introduced as a means of quantifying extremum strength. Exploratory numerical methods are also suggested.","The challenges in estimating and representing functional data distributions lead principal component methods to play a significantly larger role in functional data analysis than in traditional finite-dimensional contexts. Local maxima and minima in principal component functions hold direct importance, as they reveal regions in a random function's domain where influence on its value tends to be strong but of opposing sign. We examine the statistical relationship between extrema in empirical principal component functions and their true counterparts. Empirical principal component functions generally capture standard extrema well but may struggle to differentiate a ""shoulder"" from a minor bump. For instance, when the true function has a shoulder, the empirical version has roughly a 50% chance of displaying a bump instead. We propose and evaluate bootstrap methods for assessing extremum strength, finding the subsample bootstrap more effective than the standard approach. A ""bootstrap likelihood"" is introduced to quantify extremum strength, alongside exploratory numerical techniques."
Nonparametric Methods For Inference In The Presence Of Instrumental Variables,"We suggest two nonparametric approaches, based on kernel methods and   orthogonal series to estimating regression functions in the presence of   instrumental variables. For the first time in this class of problems, we   derive optimal convergence rates, and show that they are attained by   particular estimators. In the presence of instrumental variables the   relation that identifies the regression function also defines an   ill-posed inverse problem, the ``difficulty'' of which depends on   eigenvalues of a certain integral operator which is determined by the   joint density of endogenous and instrumental variables. We delineate the   role played by problem difficulty in determining both the optimal   convergence rate and the appropriate choice of smoothing parameter.","We propose two nonparametric methods based on kernel techniques and orthogonal series for estimating regression functions when instrumental variables are present. For the first time in this context, we establish optimal convergence rates and demonstrate that specific estimators achieve these rates. The relationship that identifies the regression function under instrumental variables also results in an ill-posed inverse problem, whose complexity is influenced by the eigenvalues of a particular integral operator derived from the joint density of the endogenous and instrumental variables. We elucidate how this problem complexity affects both the optimal convergence rate and the selection of the appropriate smoothing parameter.",Peter Hall,"Here is a lightly edited version of the abstract:

We propose two nonparametric approaches, utilizing kernel methods and orthogonal series, to estimate regression functions in the presence of instrumental variables. For the first time in this class of problems, we derive optimal convergence rates and demonstrate that specific estimators attain these rates. When instrumental variables are present, the relationship that identifies the regression function also defines an ill-posed inverse problem, the ""difficulty"" of which depends on the eigenvalues of a certain integral operator determined by the joint density of endogenous and instrumental variables. We elucidate the role of problem difficulty in shaping both the optimal convergence rate and the appropriate choice of smoothing parameter.","We propose two nonparametric methods, using kernel techniques and orthogonal series, to estimate regression functions with instrumental variables. For the first time in such problems, we establish optimal convergence rates and demonstrate that specific estimators achieve them. The relationship identifying the regression function also creates an ill-posed inverse problem, whose complexity depends on eigenvalues of an integral operator derived from the joint density of endogenous and instrumental variables. We clarify how this problem difficulty influences both the optimal convergence rate and the selection of the smoothing parameter."
Testing For Monotone Increasing Hazard Rate,"A test of the null hypothesis that a hazard rate is monotone   nondecreasing, versus the alternative that it is not, is proposed. Both   the test statistic and the means of calibrating it are new. Unlike   previous approaches, neither is based on the assumption that the null   distribution is exponential. Instead, empirical information is used to   effectively identify and eliminate from further consideration parts of   the line where the hazard rate is clearly increasing; and to confine   subsequent attention only to those parts that remain. This produces a   test with greater apparent power, without the excessive conservatism of   exponential-based tests. Our approach to calibration borrows from ideas   used in certain tests for unimodality of a density, in that a bandwidth   is increased until a distribution with the desired properties is   obtained. However, the test statistic does not involve any smoothing,   and is, in fact, based directly on an assessment of convexity of the   distribution function, using the conventional empirical distribution.   The test is shown to have optimal power properties in difficult cases,   where it is called upon to detect a small departure, in the form of a   bump, from monotonicity. More general theoretical properties of the test   and its numerical performance are explored.","We propose a novel test for the null hypothesis that a hazard rate is monotone nondecreasing, contrasting it with the alternative hypothesis that it is not. Both the test statistic and its calibration method are original contributions. Unlike prior methods, our approach does not rely on the assumption that the null distribution follows an exponential form. Instead, we utilize empirical information to effectively identify and exclude regions where the hazard rate is clearly increasing, allowing us to focus only on the remaining sections. This leads to a test with enhanced apparent power, avoiding the excessive conservatism associated with exponential-based tests. Our calibration approach is inspired by methodologies used in certain tests for unimodality in densities, where a bandwidth is progressively increased until a distribution with the desired characteristics emerges. Notably, our test statistic does not employ any smoothing; it is directly based on evaluating the convexity of the distribution function using the standard empirical distribution. We demonstrate that the test exhibits optimal power properties in challenging scenarios, particularly when detecting small deviations, such as a bump, from monotonicity. Additionally, we explore the broader theoretical properties of the test and assess its numerical performance.",Peter Hall,"Here is an edited version of the abstract, with minor rephrasing and slight edits to maintain a similar length:

This paper proposes a new test for the null hypothesis that a hazard rate is monotonically nondecreasing, against the alternative that it is not. The test statistic and its calibration method are novel, and do not rely on the assumption that the null distribution is exponential. Instead, the approach utilizes empirical information to identify and exclude portions of the data where the hazard rate is clearly increasing, focusing attention only on the remaining parts. This results in a more powerful test compared to previous exponential-based approaches, without their excessive conservatism. The calibration process borrows ideas from tests for unimodality, where the bandwidth is increased until a suitable distribution is obtained. However, the test statistic does not involve any smoothing and is directly based on an assessment of the convexity of the empirical distribution function. The test is shown to have optimal power properties in challenging cases where it is tasked with detecting small departures from monotonicity in the form of a bump. The paper further explores the general theoretical properties and numerical performance of the proposed test.","A test is proposed for the null hypothesis that a hazard rate is monotonically nondecreasing, against the alternative that it is not. Both the test statistic and its calibration method are novel. Unlike prior methods, neither relies on the assumption of an exponential null distribution. Instead, empirical data is used to efficiently identify and exclude regions where the hazard rate is clearly increasing, focusing subsequent analysis only on remaining areas. This yields a test with improved apparent power, avoiding the excessive conservatism of exponential-based approaches.  

The calibration method draws inspiration from unimodality tests for densities, increasing a bandwidth until a distribution with the desired properties emerges. However, the test statistic itself involves no smoothing—instead, it directly evaluates the convexity of the distribution function using the standard empirical distribution. The test demonstrates optimal power in challenging scenarios, particularly when detecting minor deviations from monotonicity, such as small bumps. Further theoretical properties and numerical performance are also examined."
Bandwidth Choice For Nonparametric Classification,"It is shown that, for kernel-based classification with univariate   distributions and two populations, optimal bandwidth choice has a   dichotomous character. If the two densities cross at just one point.   where their curvature.,, have the same signs, then minimum Bayes risk is   achieved using bandwidths which are an order of magnitude larger than   those which minimize pointwise estimation error. On the other hand, if   the curvature signs are different, or if there are multiple crossing   points. then bandwidths of conventional size are generally appropriate.   The range of different modes of behavior is narrower in multivariate   settings. There, the optimal size of bandwidth is generally the same as   that which is appropriate for pointwise density estimation. These   properties motivate empirical rules for bandwidth choice.","This study demonstrates that in kernel-based classification involving univariate distributions with two populations, the choice of optimal bandwidth exhibits a dichotomous nature. When the two densities intersect at a single point where their curvatures share the same sign, the minimum Bayes risk is attained using bandwidths an order of magnitude larger than those that minimize pointwise estimation error. Conversely, if the curvatures have opposite signs or if multiple crossing points exist, conventional-sized bandwidths are typically suitable. In contrast, the range of behavior is more limited in multivariate scenarios, where the optimal bandwidth generally coincides with that used for pointwise density estimation. These findings provide a basis for developing empirical guidelines for bandwidth selection.",Peter Hall,"Here is the edited abstract, keeping the length similar while rephrasing and slightly editing the content:

This study examines the optimal bandwidth selection for kernel-based classification with univariate distributions and two populations. The findings reveal a dichotomous nature in the optimal bandwidth choice. If the two population densities cross at a single point and their curvatures have the same sign at that point, the minimum Bayes risk is achieved using bandwidths that are significantly larger than those that minimize the pointwise estimation error. Conversely, if the curvature signs are different or there are multiple crossing points, bandwidths of conventional size are generally appropriate. In multivariate settings, the range of different modes of behavior is narrower, and the optimal bandwidth size is typically the same as that suitable for pointwise density estimation. These characteristics inform the development of empirical guidelines for bandwidth selection in practice.","Research demonstrates that in kernel-based classification with univariate distributions and two populations, optimal bandwidth selection exhibits a dichotomous pattern. When the two densities intersect at a single point where their curvatures share the same sign, the minimum Bayes risk is attained using bandwidths significantly larger than those minimizing pointwise estimation error. Conversely, if the curvature signs differ or multiple crossing points exist, conventional bandwidth sizes typically suffice. Multivariate settings show a more limited range of behavioral patterns, where the optimal bandwidth size usually aligns with that used for pointwise density estimation. These findings support practical guidelines for bandwidth selection."
Wavelet-based Estimation With Multiple Sampling Rates,"We suggest an adaptive sampling rule for obtaining information from   noisy signals using wavelet methods. The technique involves increasing   the sampling rate when relatively high-frequency terms are incorporated   into the wavelet estimator, and decreasing it when, again using   thresholded terms as an empirical guide, signal complexity is judged to   have decreased. Through sampling in this way the algorithm is able to   accurately recover relatively complex signals without increasing the   long-run average expense of sampling. It achieves this level of   performance by exploiting the opportunities for near-real time sampling   that are available if one uses a relatively high primary resolution   level when constructing the basic wavelet estimator. In the practical   problems that motivate the work, where signal to noise ratio is   particularly high and the long-run average sampling rate may be several   hundred thousand operations per second, high primary resolution levels   are quite feasible.","We propose an adaptive sampling strategy for extracting information from noisy signals utilizing wavelet techniques. This method entails increasing the sampling rate when higher-frequency components are included in the wavelet estimator, and reducing it when, guided by thresholded terms, signal complexity is assessed to have diminished. By implementing this sampling approach, the algorithm effectively reconstructs relatively complex signals while maintaining a consistent long-term average sampling cost. It achieves this performance by leveraging near-real-time sampling opportunities made possible through the use of a sufficiently high primary resolution level in the wavelet estimator. In the practical scenarios that inspire this work, where the signal-to-noise ratio is notably high and the long-term average sampling rate can reach several hundred thousand operations per second, adopting high primary resolution levels is entirely feasible.",Peter Hall,"Here is a lightly edited version of the abstract, keeping the length similar:

We propose an adaptive sampling approach that leverages wavelet methods to efficiently extract information from noisy signals. The technique dynamically adjusts the sampling rate based on the signal's spectral characteristics. When the wavelet estimator incorporates relatively high-frequency terms, the sampling rate is increased; conversely, it is decreased when the signal complexity, as indicated by the thresholded wavelet terms, is judged to have diminished. This adaptive sampling strategy allows the algorithm to accurately recover complex signals without increasing the long-term average sampling cost. It achieves this performance by exploiting the possibilities for near-real-time sampling enabled by using a high primary resolution level in constructing the underlying wavelet estimator. In the practical applications motivating this work, where the signal-to-noise ratio is particularly favorable and the long-term average sampling rate may reach several hundred thousand operations per second, the use of high primary resolution levels is entirely feasible.","We propose an adaptive sampling approach for extracting information from noisy signals via wavelet methods. The method adjusts the sampling rate based on the presence of high-frequency components in the wavelet estimator—increasing when these terms are significant and decreasing when signal complexity diminishes, as indicated by thresholded terms. This strategy enables precise reconstruction of complex signals without raising the long-term average sampling cost. The algorithm leverages near-real-time sampling opportunities by employing a high primary resolution level in the initial wavelet estimator. In practical applications, where signal-to-noise ratios are very high and average sampling rates can reach hundreds of thousands of operations per second, such high primary resolution levels remain entirely feasible."
