ID,Citation_Type,Ref_Clean_citation,Para_text
ID_205916,Comparison,Jiang and Zhang (2009),"To compare performance of the shape-constrained estimator with other methods, we have replicated the experiment described in Johnstone and Silverman (2004), and also employed in both Brown and Greenshtein (2009) and Jiang and Zhang (2009). In this setup, the μ i 's have a simple discrete structure: there are n = 1000 observations, k of which have μ equal to one of the four values {3, 4, 5, 7}, the remaining nk have μ = 0. There are three choices of k as indicated in the table. Table 2 reports results of the experiment. Each entry in the table is a sum of squared errors over the 1000 observations, averaged over the number of replications. Johnstone and Silverman (2004) evaluated 18 different procedures; the last row of the table reports the best performance, from the 18, achieved in their experiment for each column setting. The performance of the Brown and Greenshtein (2009) kernel based rule is given in the fourth row of the table, taken from their Table 1. Two variants of the GMLEB procedure of Jiang and Zhang (2009) appear in the second and third rows of the table. GMLEBEM is the original proposal as implemented by Jiang and Zhang (2009) using 100 iterations of the EM fixed point algorithm, GMLEBIP is the interior point version iterated to convergence as determined by the Mosek defaults. The shapeconstrained estimator described above, denoted δ in the table, is reported in the first row. The δ and GMLEBIP results are based on 1000 replications. The GMLEB results on 100 replications, the Brown and Greenshtein results on 50 replications, and the Johnstone and Silverman results on 100 replications, as reported in the respective original sources."
ID_205939,Technical basis,Lindsay (1983),"What Lindsay (1983) calls ""mixture maximum likelihood"" (and denotes by f ) is in our notation, for given locations of the atoms, μj , j <U+03D5>(Y iμj ) fj . theorem 5.1 of Lindsay (1983) asserts that νi , given by (8), are solutions for his Problem 2 (p. 90)-which is nothing but the dual formulation (7), albeit again with a slight difference that it is formulated for the compact parameter space. This means that the constraint in ( 7) is supposed to be satisfied for all μ ∈ <U+1E58>; however, for μ = ∞ it is satisfied automatically, due to (A.3), thus requiring it only for μ ∈ R does not change the problem. Finally, our statement about the locations of the atoms is justified by theorem 4.1.C of Lindsay (1983), in view of his formula (4.1). [Received March 2013. Revised September 2013. ]"
ID_206195,Technical basis,Fan and Zhang 2000,1. Set the initial value B (0) λ to be the unpenalized estimator (Fan and Zhang 2000):
ID_206394,Technical basis,Welch (1937),"because r C is fixed by conditioning upon F, and Pr(Z = z | F, Z) = 1/|Z|. Let q ski be a score or rank given to R ski , so that under H 0 the q ski are functions of the r Cski and x ski , and they do not vary with Z sk . Taking q ski = R ski yields the randomization distribution of the mean or the so-called ""permutational t-test,"" as discussed by Pitman (1937) and Welch (1937). In practice, it will often be appropriate to stabilize R ski through covariance adjustment for x ski and to use scores q ski resistant to outliers. In the example, as in Small, Ten Have, and Rosenbaum (2008), the q ski in Table 1 are ranks of the residuals of R ski when regressed on the six covariates in x ski using Huber's m-estimation (with the default settings in R); see Rosenbaum (2002a) for discussion of covariance adjustment of permutation tests as well as pivoting to produce point estimates and confidence intervals."
ID_206581,Background,Friedman et al. 2000,"In particular, many popular models have been proposed for inferring gene regulatory networks using time course gene expression data. For example, dynamic Boolean networks and probabilistic Boolean networks (Liang, Fuhrman, and Somogyi 1998;Akutsu, Miyano, and Kuhara 2000;Shmulevich et al. 2002;Martin et al. 2007), dynamic Bayesian networks (Murphy and Mian 1999;Friedman et al. 2000;Hartemink et al. 2001;Zou and Conzen 2005;Song, Kolar, and Xing 2009), vector autoregressive and state space models (SSMs; Hirose et al. 2008;Kojima et al. 2009;Shimamura et al. 2009); and differential equation models (Voit 2000;Holter et al. 2001;DeJong 2002;Yeung, Tegner, and Collins 2002). Especially Xing and his associates have recently introduced temporal exponential random graph models and time-varying networks to capture dynamics of networks (Hanneke and Xing 2006;Guo et al. 2007;Kolar et al. 2010). Most of these dynamic network models such as dynamic Bayesian networks and random graph models require extensive computations for posterior inference, which only allow us to deal with small networks. Song, Kolar, and Xing (2009) also introduced a time-varying dynamic Bayesian network to model structurally varying directed graphs. Gupta, Qu, and Ibrahim (2007) proposed a hierarchical hidden Markov regression model for determining gene regulatory networks from gene expression microarray data, which also allows for covariate effects varying between states and gene clusters varying over time. Furthermore, Gupta and Ibrahim (2007) introduced a hierarchical regression mixture model to combine gene clustering and motif discovery in a unified framework, in which a Monte Carlo method was used for simultaneous variable selection (for motifs) and clustering (for time course gene expression data). Shojaie, Basu, and Michailidis (2012) recently proposed an adaptive thresholding estimate under the framework of graphical Granger causality for reconstructing regulatory networks from time course gene expression data."
ID_206718,Background,Friedman et al. 2000,"Alternative models for dynamic GRNs include boolean network, Bayesian network, hidden Markov models among others (Liang, Fuhrman, and Somogyi 1998;Murphy and Mian 1999;Akutsu, Miyano, and Kuhara 2000;Friedman et al. 2000;Hartemink et al. 2001;Shmulevich et al. 2002;Zou and Conzen 2005;Gupta, Qu, and Ibrahim 2007;Martin et al. 2007;Hirose et al. 2008;Kojima et al. 2009;Shimamura et al. 2009;Song, Kolar, and Xing 2009). It is interesting to compare these modeling approaches with the proposed ODE modeling method from the perspectives of computational cost and likelihood to recover the true network. But the computational cost for this comparison is beyond the limit of our current computational power. We employed the two-stage smoothing-based ODE estimation method for the SA-ODE model to reduce the computational cost and simplify the implementation of LASSO-based variable selection methods. One limitation of the two-stage smoothing-based ODE estimation method is its requirement of direct observations of all state variables in the system. It is still a challenging problem to perform variable selection for high-dimensional ODE models with partially observed state variables. Some other more efficient estimation approaches for ODE models such as the numerical discretization-based estimation method (Wu, Xue, and Kumar 2012) and generalized profiling approach (Ramsay et al. 2007) may also be considered for high-dimensional ODE variable selection. We believe that it is worth future exploration along a similar line, although the computational cost and implementation details need to be carefully considered. In the proposed SA-ODE model (1.3), we only consider the nonparametric additive structure of related variables. It could be extended to a nonparametric structure involving interactions (Radchenko and James 2010) since co-regulations are very often in gene regu-latory networks. We are currently working on this problem and will report the results elsewhere."
ID_206750,Technical basis,"Gastwirth, Krieger, and Rosenbaum 2000","Unlike the paired case, there is no widely used standard test for studies that matched one treated subject to several controls, although the literature does contain many reasonable methods. In the absence of a standard method, I have decided to contrast weighted and unweighted M-statistics, that is, the test statistics associated with Huber's (1964Huber's ( , 1981) ) M-estimates; see, for instance, Maritz (1979). The remainder of this paragraph mentions some of the considerations that speak in favor of this decision, in favor of M-statistics, although analogous gains in power can be had by creating new rank statistics. Under mild conditions, one can produce M-estimates, R-estimates, and Lestimates with the same influence function, so considerations of that sort cannot lead to a preference between M-statistics and rank statistics. One attraction of the family of M-estimates is that it includes as a special case the treated-minus-control difference in means, and this statistic has a special place in causal inference because it estimates the average causal effect in randomized experiments; see, for instance, Rubin (1974). A second attraction is that M-statistics can be, and typically are, continuous functions of observed data, so they tend to be more graceful than rank statistics with heavily tied responses, such as integer lengths of stay in a hospital recorded in days. Third, M-statistics with multiple controls combine easily with ""evidence factors,"" as discussed briefly in Section 7.3 and in detail in Rosenbaum (2011b). Finally but not inconsequentially, the mathematics of sensitivity analysis with multiple controls is a little less tidy than the paired case (see Gastwirth, Krieger, and Rosenbaum 2000), and some of the technical details involved with proving results about the design sensitivity work out a little more smoothly with M-statistics."
ID_206939,Technical basis,Fan (1991a),"(2.2) (Here and throughout, we assume that φ U never vanishes and that the integral in Equation (2.2) is well defined.) This nonparametric estimator is consistent under mild conditions and has optimal nonparametric convergence rates; see Carroll and Hall (1988) and Fan (1991a). However, because of the intrinsic difficulty of nonparametric deconvolution, these rates can be quite slow, which is reflected by somewhat disappointing finite sample performance. Nevertheless, in some cases we may have some (correct or incorrect) parametric information about f X . Clearly, in such instances we could improve the estimator if we could modify it in a way that incorporates the parametric guess only when it is correct, or close to being correct. Let f ( <U+2022> | θ ) denote a parametric model for the density of X, where θ ∈ is a finite-dimensional parameter. In the next sections, we construct parametrically assisted estimators that can improve the performance of fdec when f X is approximately of the form f ( <U+2022> | θ ), and do not significantly degrade its quality otherwise."
ID_206942,Background,Naito (2004),"Remark 1. Using the technique employed to derive L x in Equation (2.5), the work of Naito (2004), which introduces a general class of multiplicatively adjusted density estimators that includes estimators suggested by Hjort and Jones (1996), based on local likelihood ideas, as well as the approach of Hjort and Glad (1995), can be generalized to the case of measurement error. There frat , defined at Equation (2.3), would be altered to fα"
ID_207504,Background,Sequeira and Zaki 2002,"Change point analysis is the process of detecting distributional changes within time-ordered observations. This arises in financial modeling (Talih and Hengartner 2005), where correlated assets are traded and models are based on historical data represented as multivariate time series. It is applied in bioinformatics (Muggeo and Adelfio 2011) to identify genes that are associated with specific cancers and other diseases. Change point analysis is also used to detect credit card fraud (Bolton and Hand 2002) and other anomalies (Sequeira and Zaki 2002;Akoglu and Faloutsos 2010); and for data classification in data mining (Mampaey and Vreeken 2011). Applications can also be found in signal processing, where change point analysis can be used to detect significant changes within a stream of images (Kim et al. 2009)."
ID_207652,Background,"Cooley, Davis, and Naveau 2010","As human society becomes more complex, it becomes more vulnerable to rare but catastrophic events, such as the Fukushima nuclear accident, widespread flooding, or turbulence in financial markets. Assessment of the risks of such events involves the estimation of small probabilities and hence entails extrapolation into the tails of multivariate distributions, often beyond any existing data. The mathematical basis for such extrapolation is the statistics of extremes, which is an active domain of current research. Published applications include air quality monitoring (Heffernan and Tawn 2004), wave surge analysis (Ramos and Ledford 2009), aviation safety (Einmahl, Li, and Liu 2009), precipitation studies (Jaru<U+0161>ková 2009), and finance (Embrechts, Lambrigger, and Wüthrich 2009). A central concept in classical multivariate extreme value theory is the so-called spectral distribution, which determines the degree of dependence among extremes of different variables. Such a distribution must satisfy certain moment constraints, and it is awkward both to devise suitable models and to find estimators that obey the constraints. A variety of parametric models have been proposed, for small to moderate numbers of dimensions (Tawn 1988;Coles and Tawn 1991;Kotz and Nadarajah 2000, chap. 3;Cooley, Davis, and Naveau 2010;Ballani and Schlather 2011). Boldi and Davison (2007) introduced a constrained mixture of Dirichlet distributions which is weakly dense in the class of all possible spectral measures (see also Sabourin and Naveau 2013), and Einmahl and Segers (2009) proposed a nonparametric estimator that imposes the marginal constraints using empirical likelihood (Owen 1988(Owen , 2001)). However, all these approaches consider only a single spectral distribution, whereas it is sometimes necessary to consider a family of spectral measures, H 0 , . . . , H K , to capture the effect of explanatory variables on joint extremes. In this article, we discuss the joint modeling of extremal events when data are gathered from several populations, to each of which corresponds a vector of covariates. The work is motivated by bivariate data on air temperatures at several sites around Switzerland, collected to understand how extremely high temperatures under the forest canopy relate to those in a nearby open field (Renaud and Rebetez 2009;Ferrez, Davison, and Rebetez 2011;Renaud et al. 2011). Each site is characterized by features such as its altitude, the soil type and dominant tree species, and the scientific questions require not merely the fitting of distributions to the extreme temperatures, but also quantification of how their joint distribution depends on the features. This is of interest for reasons such as maximizing the shelter offered by different types of forest during heat waves or the design of wooded parks in urban areas."
ID_207749,Comparison,1,"Method 1 in Tables 1 and2 is the naive bootstrap method corresponding to weight w [1] k,(m) , Method 2 is the regular bootstrap method corresponding to weight w [2] k,(m) , and Method 3 is our proposed kernel method corresponding to weight w [3] k,(m) . We first note that Method 1 will always return confidence intervals of equal or greater width than those returned by Method 2. Correspondingly, we find many settings in which the coverage of Method 2 is far below the nominal level (e.g., the Ties setting). This result matches the report of poor performance of the regular bootstrap approach in Hall and Miller (2010) on extrema of parameters. In almost all of these settings (except the extreme quantiles in the Ties setting), Method 1 will provide appropriate, but conservative, confidence intervals. Our proposed Method 3, on the other hand, is shown to have appropriate coverage levels in all settings, as well as noticeably narrower confidence interval widths relative to Method 1 in nearly all cases (except in the cases when the θ k 's are well separated, in which case the interval lengths are the same for all methods). Relative to the regular bootstrap estimator (Method 2), the intervals from our proposed method are asymptotically narrower, in the ties setting, for the few cases in which the bootstrap estimator does provide appropriate coverage. Furthermore, the interval widths are similar (and asymptotically equal) to those from Method 2 in the uniform and normal settings."
ID_207781,Background,"Boyd, Xiao, and Mutapcic 2004","The projection operator P s (.) can be applied in O(n v ) floating point operations (flops) by computing the projection in |R| independent subsystems, each with |S | -1 variables. Checking violations of n d dense constraints together with the projection costs at most O(n v (n d + 1)) flops per iteration. The projected subgradient descent method above is guaranteed to converge to the optimum of (18) (Boyd, Xiao, and Mutapcic 2004). However, it may take a large number of iterations to achieve a highprecision solution. In our implementation, we continue until an iteration k is reached where the proportion improvement in the objective function value is smaller than 10 -3 ; we then use x (k ) as the initial point in a parametric simplex solver (Vanderbei 2010). Though each iteration of a parametric simplex solver runs in superlinear time, for our problem it only requires a few iterations to move from x (k ) to a very precise optimal solution. Our solutions all had duality gap at most 10 -8 showing they are within 10 -8 of the true optimal solution to the discretized problem."
ID_207823,Technical basis,Fan and Gijbels 1996,"The variance is the same as that of f (T 1) X (x), except for the factor 27/16 which is the usual variability inflation factor from local linear to local quadratic regression estimators when a Gaussian kernel is used (Fan and Gijbels 1996, sec. 3.3.1). Consequently, it also admits the boundary behavior characterized by (3.7), again inflated by 27/16. On the other hand, the bias is now of order O(h 4 ), as expected. Importantly, this holds also for x → 0/1 (provided f X (x) > 0) with no extra boundary effect. Besides, this leading bias term even tends to 0 as x tends to 0 or 1, since the functions { -1 (x)} r φ s ( -1 (x)) tend to 0, for r, s integers, r ≥ 0, s > 0. This was not the case for f (T 1) X (x), due to the third term in the bracket in (3.12). At the boundaries, the bias of f (T 2) X (x) is thus actually o(h 4 ), provided that f X (x) does not tend to 0 too quickly and its derivatives do not grow too quickly to ∞ when approaching 0 or 1 (i.e., if no terms in (3.15) grows unboundedly there)."
ID_208043,Technical basis,"Fukumizu, Bach, and Jordan 2004","Theorem 1 (Fukumizu, Bach, and Jordan 2004)"
ID_208252,Background,Kulich and Lin (2000),"The statistical literature on case-cohort studies is rather extensive. Most of the existing work is focused on the original design of Prentice (1986), under which the subcohort is selected by simple random sampling and the first-phase covariate information is not used in the sampling or the analysis. Specifically, Prentice (1986) and Self and Prentice (1988) proposed pseudo-partial likelihood functions for the proportional hazards model (Cox 1972) by replacing the risk sets of the whole cohort in the partial likelihood function (Cox 1975) with their subcohort counterparts. Kalbfleisch and Lawless (1988) suggested a modification that weights individuals' contributions to the partial likelihood function by their inverse probabilities of selection; Barlow (1994), Chen and Lo (1999), Borgan et al. (2000), and Chen (2001) studied related estimators. Weighted estimators were also proposed by Kong, Cai, and Sen (2004) and Lu and Tsiatis (2006) for the class of linear transformation models, which includes the proportional hazards model as a special case. Similar estimators were proposed by Kulich and Lin (2000), Nan, Yu, and Kalbfleisch (2006), and Kong and Cai (2009) for the additive risk and accelerated failure time models. Weighted estimators are not asymptotically efficient. To improve efficiency, Kulich and Lin (2004), Qi, Wang, and Prentice (2005), Breslow et al. (2009), and Luo, Tsai, and Xu (2009) used auxiliary variables to adjust the sampling weights along the lines of Robins, Rotnitzky, and Zhao (1994). Efficient estimation of the proportional hazards model was studied by Chen and Little (1999) and Martinussen (1999) for parametric covariate distributions, by Nan (2004) for discrete covariates, and by Scheike and Martinussen (2004) for the original case-cohort design."
ID_209002,Background,"He, Wang, and Hong (2013)","One attractive feature of the MDC-based screening procedure is that it can be easily modified to screen out variables that do not contribute to a particular aspect of the conditional distribution of the response given the covariates, such as conditional quantiles. For high-dimensional heterogenous data, He, Wang, and Hong (2013) proposed a new framework called quantile-adaptive model-free screening and advocated a quantile-adaptive approach which allows the set of active variables to be different when modeling different conditional quantiles. The screening procedure in He, Wang, and Hong (2013) involves the estimation of marginal quantile regression model nonparametrically using B-spline approximation and its practical implementation requires the choice of spline basis functions and knots, etc., whereas no tuning parameter is involved in the calculation of sample marginal utilities for our MDC-based conditional quantile screening procedure. On the other hand, it was mentioned in He, Wang, and Hong (2013) that adaptive choice of number of knots and spline basis functions is often not needed as optimal estimation of marginal quantile regression is not the goal in the high-dimensional screening and a standard procedure using cubic spline and 3 or 4 internal knots are flexible enough to approximate many smooth functions encountered in practice, and is seen to work well in many settings. See Section 4.2 for a detailed finite sample comparison between QaSIS of He, Wang, and Hong (2013) and our MDC-SISQ."
ID_209164,Fundamental idea,Richardson and Green (1997),"We apply Bayesian estimation, largely following Richardson and Green (1997) and Stephens (2000) in our choices of prior distributions and hyperparameters. Richardson and Green (1997) defined a set of independent, weakly informative and hierarchical priors conjugate to univariate Gaussian mixture models, which Stephens (2000) extended to the multivariate case. We extend to incorporate time-varying mixture weights, and instead of imposing independent Dirichlet priors on {p b,j }, we impose CAR priors on π b,r as in Equation (4). For all other parameters, we have for j ∈ {1, . . . , K} and t ∈ {1, . . . , T },"
ID_209178,Technical basis,Jones et al. 2006,"To measure the predictive accuracy of density estimates obtained from the proposed mixture models, MEDIC, and the proposed MEDIC-KDE, we use the average logarithmic score. First proposed by Good (1952), this performance measure is advocated for being a strictly proper scoring rule and its connections with Bayes' factor and Bayes' information criterion (Gneiting and Raftery 2007). We define PA({s t,i }) = 1 1. The predictive accuracies for Gaussian mixture models are presented with their 95% consistent, nonoverlapping batch means confidence intervals (see Jones et al. 2006), which reflect the accuracy of the MCMC estimates. Here, a less negative predictive accuracy indicates better performance. The proposed mixture models outperform the two current industry methods. Allowing for a variable number of components improves the predictive accuracy slightly, but the rate of improvement diminishes as the average number of components grows. Given that the computational expense almost doubles to obtain these mod-est improvements, we conclude that using a fixed number of 15 components is largely sufficient in this application."
ID_209205,Comparison,"Belloni, Chernozhukov, and Hansen (2013)","More relevant to marginal screening, the covariance test recently introduced by Lockhart et al. (2014) uses a forward stepwise lasso procedure to test for active predictors entering a sparse linear model under the assumption of normal errors. Also in the sparse linear model setting with normal errors, but further assuming that the predictors are nearly uncorrelated, Ingster, Tsybakov, and Verzelen (2010) and Arias-Castro, Candès, and Plan (2011) had studied the detection boundary and optimality properties of general classes of multiple testing procedures (including Bonferroni and higher criticism). Berk et al. (2013) developed a valid method of post-model selection inference that is feasible for up to about p = 20 predictors, also assuming normal errors. In various sparse high-dimensional settings, Belloni, Chernozhukov, and Hansen (2013), Bühlmann (2013), Zhang and Zhang (2014), and Ning and Liu (2015) had established asymptotically valid confidence intervals for a preconceived regression parameter after variable selection on the remaining predictors, but this does not apply to marginal screening (where no regression parameter is singled-out a priori)."
ID_209699,Background,Tota et al. 2013,"The marginal-transition model proposed in (4) essentially specifies a time-homogenous Markov model. If a couple study has a long-term follow-up and the predictor variables of interest are expected to have a time-varying effect on transmission (such as an HPV vaccine that may confer increasing protection over time), a time-heterogenous model may be used by specifying time-dependent coefficients in the marginal-transition model. Additionally, while the length of the follow-up interval is often fixed by design in longitudinal HPV studies, unequal intervals may arise due to logistic reasons or study participants missing scheduled visits. A time-heterogenous model may be used to accommodate the unequal sampling intervals where the effects of predictor variables may be allowed to differ by interval length. Model (4) assumes order-q dependence on the past history. Recent studies suggest previous infection may render some immune protection against redetection of the same type of infection (Lin et al. 2013;Moscicki et al. 2013). This may be examined by extending the order-q dependence assumption in Model (4) and modeling a subject's current infection status as a function of all past testing results observed during the study (i.e., a nonzero H 1 (<U+2022>)). Moreover, our model handles data on multiple HPV types simultaneously, allowing the assessment of possible cross-type immunity from prior infections. Although earlier studies suggested low cross-type immunity (Burchell et al. 2006b;Trottier and Franco 2006), this question may be of new interest given the recent concern of HPV-type replacement (Tota et al. 2013) with the use of HPV vaccines (which only covers 11,16,and 18). Another potential use of the method is to study auto-inoculation from cohort studies with assay data from multiple anatomic sites (e.g., penis, scrotum, hand, etc.) from the same individual at each visit. The dynamic event of interest will be the transmission of HPV from one site to another site within a person (i.e., auto-inoculation), and the different anatomic sites take the role of the different ""partners"" in our proposed method."
ID_209829,Comparison,"Cao, Tsiatis, and Davidian (2009)","Note thus that the results of Section 3.3 immediately extend to nonignorable missingness, unlike certain other alternative nuisance parameter estimation strategies. For instance, in Appendix F of the online supplemental material, we show that strategy of Cao, Tsiatis, and Davidian (2009) does not necessarily lead to an unbiased estimating function for the parameter β indexing the working model m(X; β) for E(Y |R = 0, X) when missingness is nonignorable."
ID_210051,Background,Burges 2010,"Dimension reduction is the mapping of data to a lower dimensional space so that noise or uninformative variance is discarded and a subspace in which the data lie is identified. Sufficient dimension reduction is a step further as it aims to find a minimum dimension-reduction subspace that is both sufficient in the statistical sense that it contains the same information as the original data, and at the same time the most parsimonious. By its very definition, dimension reduction is either exactly linear, as projections of the data are sought, or a linear approximation, as in manifold modeling (see Burges 2010 for a discussion of DR methods)."
ID_210541,Background,Nowicki and Snijders 2001,"a common distribution for their outgoing relationships. This is the notion of stochastic equivalence, and is the primary assumption of stochastic blockmodels, a class of models for which the probability of a relationship between two objects depends only on their individual group memberships (Holland, Laskey, and Leinhardt 1983;Wang and Wong 1987;Nowicki and Snijders 2001). Airoldi et al. (2008) extended the basic blockmodel by allowing each object to belong to several groups. In this model the probability of a relationship between two nodes depends on all the group memberships of each object. This and other variants of stochastic blockmodels belong to the larger class of latent variable models, in which the probability distribution of the relationship between any two objects i and j depends on unobserved object-specific latent characteristics z i and z j (Hoff, Raftery, and Handcock 2002). Statistical models of this type all presume some form of similarity among the objects in the network. However, while such models are widely used and studied, no formal test for similarities among the objects in terms of their relations has been proposed."
ID_210546,Background,Westveld and Hoff 2011b,"Many statistical methods for valued or continuous relational data are developed in the context of normal statistical models. These include, for example, the widely used social relations model (Kenny and La Voie 1984;Li and Loken 2002) and covariance models for multivariate relational data (Li 2006;Westveld and Hoff 2011b;Hoff 2011). Additionally, statistical models for binary and ordinal relational data can be based on latent normal random variables via probit or other link functions (Hoff 2005(Hoff , 2008)). In this article we propose a novel approach to testing for similarities between objects in terms of the row and column correlation parameters of the matrix normal model. The matrix normal model consists of the multivariate normal distributions that have a Kronecker-structured covariance matrix (Dawid 1981). Specifically, we say that an m × m random matrix Y has the mean-zero matrix normal distribution"
ID_210631,Background,Bonett (1988),which was proposed by Bailey (1951). This interval is very similar to C N1 (X) except that the standard error ignores the finite population correction. Bonett (1988) concluded from a simulation study that C N3 (X) was more efficient than C N1 (X).
ID_210791,Background,Butland et al. 2005,"A common goal in the analysis of network data is to characterize the dependence between network relations and a set of node-specific attributes. For example, in recent years many studies in the social sciences have examined the relationship between individuals' friendship networks and their health measures, such as happiness, smoking and drinking behavior, and obesity (e.g., Veenstra et al. 2013, and references therein). Similarly in the biological sciences, scientists are interested in the relationship between how proteins interact and their biological importance (see, e.g., Butland et al. 2005). In each of these applications, the data consist of two parts: the network relations {y i,j : i, j ∈ {1, . . . , n}} representing a measure of the directed relationship between each pair of nodes i and j, and p-variate nodal attributes {x i : i ∈ {1, . . . , n}}. In the case of a social network, the nodes, network relations Y = {y ij }, and attributes X = {x i }, often represent people, their friendships, and their demographic and behavioral characteristics, respectively."
ID_210989,Background,Amaral et al. 2010,"Clustering landmark-based planar shape data raises four major challenges. First, planar shape data reside in a curved shape space, which is invariant under a similarity transformation including rigid rotation and translation, and nonrigid uniform scaling (Bookstein 1991;Cootes et al. 1995;Dryden and Mardia 1998;Younes 2010). Therefore, most clustering methods (e.g., K-means) proposed for Euclidean data cannot be used to cluster data in the curved shape space (Srivastava et al. 2005;Amaral et al. 2010). Second, it is a standard high-dimensional-lowsample-size problem, since shape dimension, which is proportional to the number of landmark points, can be much larger than the sample size. Moreover, there may be significant amounts of noise in many of the landmark points, which is either associated with the complexity of the studied shapes or is caused by certain preprocessing steps such as image filtering and edge detection. Third, the landmark points along the boundaries of objects are inherently and spatially correlated with each other. Fourth, shape variation is commonly associated with some explanatory attributes (e.g., age, gender, or disease status). As shown in simulations and real data analysis, ignoring such complex spatial correlation and explanatory attributes can introduce substantial errors in both clustering and classification results."
ID_211109,Technical basis,Fan and Lv (2008),"Condition (C1) requires that the proportion of each class of the response cannot be either too small or too large. R n = O(n κ ) assumed in Condition (C1) allows the diverging number of classes of the response, where the subscript n in R n is used to empha-size R n being allowed to be diverging with the sample size n. Condition (C2) assumes that the minimum true signal cannot be too small and it is in the order of n -τ which allows the minimum true signal to vanish to zero as the sample size n approaches the infinity. Such an assumption is typical in the feature screening literature (e.g., Condition 3 in Fan and Lv (2008), Condition (C3) in Wang (2009), Condition (C2) in both Li, Zhong, andZhu (2012), andHe, Wang, andHong (2013) etc). The following theorem presents the sure screening property of MV-SIS and its proof is provided in the Appendix."
ID_211140,Background,Witten and Tibshirani (2011),"In the numerical studies, we applied linear discriminant analysis on the selected model by MV-SIS in the second-stage study. The linear discriminant analysis methods are widely used in practice and did perform reasonably well in our real data analysis. However, it is also interesting to propose a model-free and robust discriminant analysis after a model-free variable screening approach. This is out of scope of this work, but is an interesting topic for future research. Some work have been done on robust discriminant analysis. Related references include regularized discriminant analysis by Friedman (1989), robust LDA based on S-estimators by He and Fung (2000), penalized linear discriminant analysis by Witten and Tibshirani (2011), semiparametric sparse discriminant analysis by Mai and Zou (2014) and among others."
ID_211268,Background,Riley (2009),"There has been some literature addressing this problem both from a Bayesian and frequentist perspective. When only the diagonal elements of the within-study sample covariance matrix S are observed, one simple remedy is to impute the missing sample correlations over the entire range of values (i.e., from -1 to 1) and then assess whether the conclusions depend on the correlations that are imputed. This type of analysis has been used in a multivariate meta-analysis of 44 trials that evaluated the effectiveness of injectable gold, auranofin, and placebo on three treatment outcomes (Berkey, Anderson, and Hoaglin 1996). Nam, Mengersen, and Garthwaite (2003) proposed and evaluated three Bayesian multivariate meta-analysis models. In the case of bivariate outcomes, they assumed a uniform distribution on (-1, 1) for each within-study correlation. For a bivariate random-effects meta-analysis, Riley, Thompson, and Abrams (2008) proposed a model that does not require knowing the within-study sample correlations. Their model includes only one overall correlation parameter, which can be considered a hybrid measure of the within-study and between-study correlations. Unless the overall correlation is very close to 1 or -1, this alternative model has been shown to produce appropriate pooled estimates with little bias. Wei and Higgins (2013a) examined a multivariate random effects meta-regression model from a frequentist perspective, where they estimated the withinstudy covariance matrix of the mean difference in the treatment effects and odds ratios assuming the within-study correlations are known. Wei and Higgins (2013b) discussed Bayesian multivariate meta-analysis with multiple outcomes with a known within-study covariance matrix, where they decomposed the between-study covariance matrix into a product of variances and correlations as in Barnard, McCulloch, and Meng (2000), carried out a Cholesky decomposition of the between-study correlation matrix, and specified uniform priors on the Cholesky elements while at the same time ensuring positive definiteness. Ma and Mazumdar (2011) examined robust methods based on U-statistics for a multivariate meta-analysis random effects model assuming that the within-study sample covariance matrix is known. Hamza et al. (2009) examined multivariate random effects meta-analysis models with applications to diagnostic tests, where again, the within-study covariance matrix is assumed known. Hedges, Tipton, and Johnson (2010) provided a robust estimator of the covariance matrix of the meta-regression coefficients in the setting of clusters of internally correlated estimates. They only considered univariate aggregate responses and then assumed that these aggregate responses are correlated within the same cluster. Their article does not examine the multivariate meta-regression setting nor does it examine inference for the within-study covariance matrix based on aggregate data. Their methodology and data structure are very different than the setting considered in this article. Jackson, Riley, and White (2011) and Riley (2009) gave very nice overviews and detailed reviews of multivariate meta-analysis methods and provided some practical guidance and recommendations as to how to specify and/or estimate the within-study covariance matrix. Both of these articles also have an exhaustive reference list on this topic."
ID_211310,Comparison,Storlie et al. 2013,"There has also been recent interest in the treatment of categorical parameters in computer models (Qian, Wu, and Wu 2008;Zhou, Qian, and Zhou 2011;Storlie et al. 2013). However, all of this work has been aimed only at developing emulators for the computer model for the purpose of sensitivity analysis (SA) or uncertainty analysis (UA). To the best of our knowledge, there is not a calibration approach available that appropriately handles categorical model parameters."
ID_211386,Background,"Li, Li, and Zhu (2010)","In the literature, two methods have been proposed that target the groupwise central subspace: the constrained inverse regression (CIR; Naik and Tsai 2005) and the assembled SIR (aSIR; Li 2009). Later Li, Li, and Zhu (2010) showed that the two are equivalent. Let X ( ) = γ T X denote the predictors within group . The idea of CIR and aSIR is simple: to perform dimension reduction for each group of predictors X ( ) separately. Take SIR as an example, the aSIR estimator is essentially based on -1 E(X ( ) |Y ), where = var(X ( ) ), = 1, . . . , g. aDR is similar, except that a DR estimator is obtained within each group. Next we show that CIR and aSIR are special cases of the direct sum envelope approach."
